mol_id,smiles,homo-fopt,lumo-fopt,gap-fopt,e_tot-fopt
a-84,CCCCCCCC[Si](c1ccc(cc1)[AsH3-](CCC)CCC)(C)C,-0.46405566000000004,1.37151406,1.83556972,-93317.56137364
a-85,C[AlH-](S(=O)(=O)C(C(F)(F)F)(F)F)Br,-2.35186404,2.01980589,4.37166993,-109769.09565813
a-86,CCCCCC[NbH3-](S(=O)(=O)F)CCC(=O)N,-2.47779966,0.9285990900000001,3.40639875,-135820.62204272
a-87,OC(=O)CC[TaH3-](C(C(C(F)(F)F)(F)F)(F)F)c1ccc(cc1)[Si](CCC(F)(F)F)(C)C,-2.7640097900000002,0.15845718,2.92246697,-494403.32730343
a-88,CCC[BH-](c1ccccc1C(=O)O)S,-1.29646735,1.29806519,2.59453254,-26250.12176805
a-89,CCCC[InH-](COC(F)(F)F)CCCCNC(=N)N,-1.41368041,1.5659432899999999,2.9796237,-188600.76610472
a-90,CSCCC(S(=O)(=O)C(C(F)(F)F)(F)F)(C(=O)[O-])CC(=O)O,-2.03297479,1.14236888,3.17534367,-57142.13196496
a-91,NCCCC[N-]C(C(C(F)(F)F)(F)F)(F)F,-0.40613045000000003,2.03526996,2.44140041,-29439.5974285
a-92,SCCC[N-]CC(C)C,1.6221623699999999,2.3866334399999998,0.76447107,-19886.02240568
a-93,CCCC[SbH3-](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)CCCCNC(=N)N,-1.31206331,1.5778268500000001,2.88989016,-221668.60812774
a-94,NCCCC[InH-](CCCN)I,-1.32487653,2.10364636,3.42852289,-369267.705415
a-95,CC[BH-](CCCN)Cl,-1.11917391,2.65757696,3.77675087,-20159.89474173
a-96,FC(c1cc(cc(c1)C(F)(F)F)[PH3-](S(=O)(=O)C(F)(F)F)C(C(F)(F)F)(F)F)(F)F,-2.09114028,0.14757154,2.23871182,-73875.17677088
a-97,CCCC[NbH3-](S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)CCCCCC,-2.18017981,1.25431602,3.43449583,-152794.25528801
a-98,CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(c1ccc(cc1)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C)C(=O)[O-])C,-1.4663960999999999,0.9973619100000001,2.46375801,-92686.55010099
a-99,OC(=O)C[AsH3-](C(C(C(F)(F)F)(F)F)(F)F)CCCC(C(F)(F)F)(F)F,-1.6494068,1.46308609,3.11249289,-109188.91776378
a-100,N[InH-](S(=O)(=O)C(C(F)(F)F)(F)F)S(=O)(=O)C(C(F)(F)F)(F)F,-2.70937372,0.77537048,3.4847441999999997,-224962.25287055
a-101,CCCC(C(=O)[O-])(CCCS)CN,-0.41885194000000003,2.14297416,2.5618261,-26091.48834845
a-102,Cl[AlH-](c1ccc(cc1)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)c1ccc(cc1)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C,-2.68757625,0.16469427,2.8522705200000003,-127147.0951555
a-103,Cl[GaH-](C(C(C(F)(F)F)(F)F)(F)F)CCCS,-2.25527638,1.9491194900000002,4.20439587,-102031.1696955
a-104,C[TaH3-](S(=O)(=O)F)CC,-1.78534912,1.43155905,3.21690817,-458209.40457142
a-105,NC[SbH3-](C(CC)C)CN,0.025378770000000002,2.75277154,2.72739277,-188376.8865591
a-106,Cl[GaH-](S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)Br,-2.64021489,1.3606243,4.00083919,-180784.12732159
a-107,CSCC[InH-](CCC(=O)N)CCCCNC(=N)N,-1.45689066,1.7537543800000002,3.21064504,-192843.56327784
a-108,NC[N-]c1ccc(cc1)[Si](CCCCCCCC)(C)C,0.12064156000000001,1.6079519,1.48731034,-29012.91250773
a-109,CCCC[AsH3-](S)N,-0.26342686,2.42952142,2.69294828,-78652.38777164
a-110,I[GaH-](S(=O)(=O)C(F)(F)F)c1ccc(cc1)[Si](CCCCCCCC)(C)C,-2.3373931900000002,0.96349248,3.30088567,-298894.02315525
a-111,Cl[NbH3-](S(=O)(=O)C(C(F)(F)F)(F)F)CC(C)C,-2.3560310700000002,0.60253468,2.95856575,-152467.72108667
a-112,[O-]C(=O)C(S(=O)(=O)C(C(F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,-2.22481407,1.32688469,3.55169876,-67507.64787464
a-113,S[TaH3-](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-2.23574175,0.9157768,3.15151855,-505416.3774092
a-114,CCCC[BH-](c1ccc(cc1)[Si](CCC(F)(F)F)(C)C)CC(C)C,-1.7359098099999999,1.8431906900000001,3.5791005,-36975.4907057
a-115,CCC[C-](S(=O)(=O)F)CC(=O)O,-0.77062019,2.64204236,3.41266255,-28177.41972327
a-116,CCCCC[InH-](c1ccc(cc1)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C)CCCC(C(F)(F)F)(F)F,-1.64367786,0.30302464,1.9467025,-246459.17388411
a-117,CCCCC[InH-](S(=O)(=O)F)c1ccc(cc1)C,-2.33015745,1.70730045,4.0374579,-192574.2412953
a-118,Br[BH-](S(=O)(=O)C(C(F)(F)F)(F)F)CCC(=O)N,-2.63273908,2.21495543,4.84769451,-109493.01849788
a-119,NCC[AlH-](S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)CCSC,-2.1115320300000002,1.67611138,3.7876434100000003,-61518.84518271
a-120,CSCC[BH-](C(C(F)(F)F)(F)F)C(C(F)(F)F)(F)F,-1.839743,2.45565077,4.29539377,-46141.47869029
a-121,C[InH-](S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)S(=O)(=O)C,-2.18487101,1.35160146,3.53647247,-216414.3448607
a-122,FC(c1cc(cc(c1)C(F)(F)F)[AlH-](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)S(=O)(=O)F)(F)F,-3.60265776,0.25803166,3.86068942,-77613.50215895
a-123,SCCC[TaH3-](c1ccccc1C(=O)O)c1ccccc1C(=O)O,-2.17849761,-0.01832677,2.16017084,-474247.95003698
a-124,I[GaH-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C,-2.49365535,1.29478986,3.78844521,-290025.55060203
a-125,NCC[AlH-](CCC(=O)O)CCC(=O)O,-2.193635,1.9231216199999999,4.11675662,-24870.57768082
a-126,NCCCC[InH-](CC(C)C)O,-0.76143258,2.06151716,2.82294974,-174301.81250605
a-127,C[NbH3-](S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)CC(=O)O,-2.40483154,0.06890757,2.47373911,-149373.62078413
a-128,NC[NbH3-](c1ccccc1C(=O)O)CCSC,-1.14369188,1.04984167,2.19353355,-133074.91911748
a-129,FC(CC[Si](c1ccc(cc1)[NH-])(C)C)(F)F,0.1562072,2.34860179,2.19239459,-29201.40001631
a-130,Br[InH2-]S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-2.3830727400000002,1.41653254,3.7996052799999998,-277164.04177796
a-131,NCCCC(S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(=O)[O-])CCCC(C(F)(F)F)(F)F,-1.6736478,1.26196799,2.93561579,-73382.15635547
a-132,C[AlH-](C(C(F)(F)F)(F)F)N,-1.06779641,3.43012285,4.49791926,-24912.2176313
a-133,NCCCC[NbH3-](S(=O)(=O)C(F)(F)F)COC(F)(F)F,-2.27900926,1.05419451,3.33320377,-147230.24344382
a-134,CCCCC[C-](c1ccc(cc1)C)CCC(=O)O,0.62826801,2.17247575,1.54420774,-21061.16463801
a-135,NC[BH-](CCCS)N,-0.12982259000000002,2.58205674,2.71187933,-18911.29088787
a-136,I[BH-](S(=O)(=O)C)CCCS,-1.8683799300000001,2.21393832,4.08231825,-227451.139839
a-137,CCCCCC(S(=O)(=O)F)(C(=O)[O-])CCCCN,-1.16897343,2.01700833,3.1859817599999998,-35031.05588874
a-138,Cl[GaH-](S(=O)(=O)C)Cl,-1.88388118,2.5670096,4.45089078,-94423.03389453
a-139,CCCCC[GaH-](C(C(C(F)(F)F)(F)F)(F)F)CCCCNC(=N)N,-1.93731945,1.61823168,3.55555113,-90560.9420681
a-140,SCCC[GaH-](S(=O)(=O)C(F)(F)F)CC(=O)O,-2.5429344499999997,1.84195298,4.38488743,-97693.51899346
a-141,CC(C[InH-](c1ccccc1C(=O)O)Cl)C,-1.7684767,1.2759774,3.0444541,-190454.29190074
a-142,[AlH-](CN)(F)O,-0.8791899,3.45653258,4.33572248,-14010.2152577
a-143,COCCOCC[InH-](C(C(C(F)(F)F)(F)F)(F)F)CC(=O)O,-2.32751926,1.8976076100000001,4.22512687,-199970.04309355
a-144,COCCOCC[AlH-](c1ccc(cc1)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C)CC(C)C,-1.80876601,0.48582409,2.2945900999999997,-80457.2349565
