mol_id,smiles,homo-fopt,lumo-fopt,gap-fopt,e_tot-fopt
c-99,CCCCCCCCCCCCCCCCCCCC[PH+](C(=O)OCCCC)C=C,-7.8383142,-6.42613522,1.41217898,-42284.49836898
c-100,CCCCCCCCCCC1OCN(C(=[NH+]c2nnc(o2)SCC)N1)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-8.65456311,-5.81648911,2.8380739999999998,-95078.60889896
c-101,CCCCOCn1ncn(c1=[NH+]CCCSC(=S)N1CCOCC1)CC(CO)O,-7.24394183,-4.53591921,2.70802262,-56611.9576143
c-102,COCCOCCC1(CNC(=[NH+]C(CC(C)C)(CO)C)N1)CC(=O)OCC,-7.59564694,-4.4027137,3.19293324,-35024.55124119
c-103,OCCn1nnc([n+]1CCC(F)(F)F)CC#C,-9.99334913,-7.36208983,2.6312593,-25685.26582398
c-104,CCN(C(=S)SCCCc1cn[n+](cc1CC(=CBr)Br)[Si](C)(C)C)CC,-7.27152186,-6.642861,0.62866086,-196080.51400188
c-105,NCCC1=[NH+]C(CS1)(CCCS(=O)(=O)O)CC(C(F)(F)F)O,-9.6545513,-6.11788675,3.5366645500000002,-52816.21482586
c-106,CCCCCOCC1CC(CCCF)[NH2+]CC1CCCSC(=S)N(CCCC)CCCC,-8.04050416,-4.66217616,3.3783279999999998,-57304.52313481
c-107,CCCOCc1nn(c(=[NH+]CCOCCOCCOC)[nH]1)CCCCCCCCCCC,-7.58613731,-4.44085802,3.14527929,-39829.11488749
c-108,CC(CC1(CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)CNC(=[NH+]CC2CO2)N1)O,-9.26790162,-4.92910859,4.33879303,-48932.0342798
c-109,C=CCc1[nH]c([nH+]c1CCCCCCCCCCCCn1cccc1)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-6.19112408,-6.1654994,0.02562468,-82371.76156522
c-110,CCCCN(C(=O)CC1OCN(C(=[NH+]CC(=O)OCCC)N1)CC(O)C)C,-8.07407829,-5.03365232,3.04042597,-35430.80908246
c-111,COc1ccccc1[NH+](Cc1ccccc1C)CCCSC(=S)N1CCOCC1,-8.35088019,-4.93835388,3.41252631,-53179.95657742
c-112,C#CCCCN1C(OC(NC1=[NH2+])CC(=O)c1ccccc1)Cc1ccccc1C,-8.59792224,-5.6976295,2.9002927400000003,-33900.17737887
c-113,CCCCCCCCCCCCC1OCC[NH+](C1CCC)COCCCCC,-8.4053481,-3.96308086,4.44226724,-32347.73672353
c-114,CCSc1nnc(o1)c1[nH+]cc(cc1Cc1cccc(c1)C)CCCCS(=O)(=O)Cl,-8.72104572,-7.07738558,1.6436601400000002,-67127.03022228
c-115,CCCCCCC[n+]1ccc(c(c1)C=C)CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-9.65453328,-6.81289617,2.8416371099999997,-73007.57231818
c-116,OCC(C[PH+](CCCc1ccccc1)CCCCCCOC(=O)C=C)O,-8.22880541,-4.5706649200000005,3.65814049,-39833.98654592
c-117,CCCCCCOC(=O)CN1CCNC1=[N+](CCCCS(=O)(=O)Cl)N,-9.36580035,-4.90776878,4.45803157,-53648.06803627
c-118,CCCCCCC[S+](C(=O)OCC)CCC(C(Br)(F)F)(Br)F,-9.80296468,-6.16902581,3.63393887,-180839.35912669
c-119,CCOCC[S+](CCCS(=O)(=O)O)CCCCCCCCCCCCn1cccc1,-5.84640977,-5.27222239,0.57418738,-55997.19407277
c-120,C=CN1C(C(NC1=[NH2+])C)C(C(F)F)(F)F,-10.01314273,-5.8499209400000005,4.16322179,-23832.67661445
c-121,CCCCCOC(=O)CC1(CSC(=[NH+]1)CCOCC(F)(F)F)CC(CBr)Br,-9.2632806,-6.58987646,2.67340414,-187538.87268839
c-122,C=CC[n+]1cn(cc1CCCCS(=O)(=O)Cl)CC(CC)C,-9.54069917,-5.63027496,3.91042421,-46504.21946566
c-123,OCCNCC(C[NH+](CCC(F)(F)F)COCC)O,-8.40090256,-3.90024127,4.50066129,-29073.8922777
c-124,OCC(C[n+]1cn(c(c1)CC(O)C)CCC(=C(F)F)F)O,-8.81585641,-5.2791798100000005,3.5366766,-31081.88110478
c-125,CCCOC(=O)CC1(COCC)OC(CC(C(F)(F)F)O)NC(=[NH2+])N1,-9.31273238,-4.90909598,4.4036364,-37788.79648218
c-126,CCCCCCCSc1nnc(o1)[N+](=C1NCOC(N1)COCCC)C#C,-8.50135633,-5.4196212599999996,3.08173507,-43617.39075707
c-127,CCCCCCCCCCCOCc1[nH+]cc(n1COCCCC)CC(C)C,-8.52252877,-5.52650413,2.99602464,-32720.56971571
c-128,NCCCC1NCC([NH+](C1)CCCCCCCCCCCCn1cccc1)c1nnc(o1)SCCCC,-5.79689693,-5.01012453,0.7867723999999999,-52792.44008418
c-129,CCCCCCCCCCOCC1(CCCCCC)CCC(C[NH2+]1)CCCCCC,-8.65887018,-4.15434258,4.5045276,-33508.66853861
c-130,OCCC1OC(CC(=O)OC)NC(=[NH2+])N1CC(O)C,-9.17610339,-4.34168075,4.83442264,-26470.55054162
c-131,CCCCOC(=O)c1c2ccccc2c[n+](c1CCC(=O)Nc1ccccc1)CC(=O)OCCCCCC,-8.13170614,-6.37166861,1.76003753,-45994.99776059
c-132,CCCCN(C(=S)SCCC[N+](=c1[nH]nc([nH]1)C(CO)C)CCCc1ccccc1)CCCC,-7.39093563,-4.30822965,3.08270598,-58924.52256673
c-133,CCCCCCCCCCCOC[n+]1cnn(c1N)N(C)C,-8.55941452,-5.1231351,3.43627942,-26635.00021369
c-134,CCCCCOCC1[NH+](CCOC1[Si](C)(C)C)CCC(F)(F)F,-9.33622659,-4.53158045,4.80464614,-38767.3286053
c-135,CCCCCCCSc1nnc(o1)N1CC[NH+](C(C1)CC(=O)OCCCCCC)CCOCCO,-7.70753442,-4.5753552,3.13217922,-53760.39383659
c-136,CCCCCCCCC1CNCC([NH2+]1)(COCCC)C(=O)C,-8.94824008,-6.00135339,2.94688669,-26336.46100051
c-137,CCOCC[S+](CCC(=C(F)F)F)C=C,-9.17711897,-6.57769867,2.5994203000000002,-31705.04012051
c-138,CCCCCCCCCCCCCCCCCC[n+]1cc(n(c1)CC(O)C)Cc1ccc(cc1)C,-7.86065556,-5.08067335,2.77998221,-39097.95407343
c-139,CCCCCCCCN(C(=S)SCCCC1COCC([NH+]1CCOCCOc1ccc(cc1)C(CC(C)(C)C)(C)C)CCOCC(F)(F)F)CCCCCCCC,-6.78531297,-4.29878217,2.4865308,-90112.1110601
c-140,CCCCCCCCCCCCCCCc1[nH+]cc2c(c1COCCCCCCC)cc(cc2)N(O)O,-8.10926093,-6.46089268,1.6483682499999999,-43190.48992708
c-141,CCCOC(=O)Cc1nnn([n+]1CCCC(=O)O)CCCCS(=O)(=O)Cl,-9.42857741,-6.8045179000000005,2.62405951,-56608.5591221
c-142,CCCCCOC(=O)C[NH+](CCCSC(=S)N1CCOCC1)CCCCCCCCC,-7.70341802,-4.81842286,2.88499516,-56526.30090775
c-143,CC(CCC1OC([NH2+]C1CCc1ccccc1)CCC(=O)Nc1ccccc1)CCC=C(C)C,-7.33931314,-4.52941273,2.80990041,-38876.09147093
c-144,FCC[S+](COc1cc(C)ccc1C(C)C)COCCCCCCCCCCC,-8.42519121,-5.47579369,2.9493975199999998,-44324.60485642
c-145,OCC[NH+](C(C(=O)OCC)C)CC(=O)OC,-10.06159826,-5.16795032,4.89364794,-22420.0928801
c-146,CC(C[n+]1cn(cc1CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)c1ccncc1)C,-9.23747403,-6.18825828,3.04921575,-47913.80319813
c-147,CCC(CC1[NH+]=C(SC1CC(OCc1ccccc1)C)C(CC(C)C)(CO)C)C,-8.38372592,-5.97539063,2.40833529,-43062.78025461
c-148,CCOC(=O)C[PH+](Cc1cccc(c1)C)CCCC(=O)O,-9.09552307,-4.88250618,4.2130168900000005,-34489.21126083
c-149,CCOCCc1cc2cc(ccc2c([nH+]1)CC(OC(=O)CS)COC(=O)CS)Cc1cccc(c1)C,-7.895071,-6.41383558,1.48123542,-63069.06704541
c-150,CCCCCCCOCC1NC(=[NH+]CCCF)NC(C1)C(=O)OCC,-8.81242083,-4.37047483,4.441946,-32563.52236737
c-151,CCCCCCCCCCOCC1CNC(=[NH+]C(CC(C)C)(CO)C)NC1C(C(F)F)(F)F,-8.64756529,-4.42409099,4.2234743,-45072.45898741
c-152,CCCCCCCCCC[n+]1cnn(c1CCOCCO)COCCCC,-8.90488883,-5.44718643,3.4577024,-33066.5598902
c-153,CCCCOC(=O)c1c[n+](CCOCC)cc2c1ccc(c2)I,-9.03601003,-7.02725414,2.00875589,-223258.6976997
c-154,CCCCCCCCN(C(=S)SCCCc1cc(n[nH+]c1CCCSC(=S)N(c1ccccc1)c1ccccc1)CC1CO1)CCCCCCCC,-7.06787313,-6.79734093,0.2705322,-97126.48910457
c-155,NCCC1(CCCSC(=S)N(CCCC)CCCC)COC(C[NH2+]1)CC(=O)OC,-7.33259781,-3.97560558,3.35699223,-54825.3117153
c-156,CCCCCOCCC1CNC(=[NH2+])NC1(CCCN)COCC,-8.1570198,-4.56268219,3.59433761,-28279.74122229
c-157,CCOCCC1[NH+]=CCC1(CCCC(=O)O)CC(=O)OC,-8.56777277,-7.32415379,1.24361898,-27701.50638881
c-158,CCCCC1(CNCC([NH2+]1)C=C)c1ccccc1,-8.89703933,-5.07305265,3.82398668,-19969.80111813
c-159,CCOCC[N+](=C1NCOC(N1)C(CO)CC)COCCCCCCCCCCC,-8.57425284,-4.56177284,4.01248,-37285.75198065
c-160,CCCCCOCC1CCC[NH+](C1)C(C(=O)OCC)C,-8.91394393,-5.03550855,3.87843538,-24739.87217906
